year,generation_gwh,demand_gwh,peak_demand_mw,adequacy_ratio,capacity_util_pct,access_gap_pct,hydro_share_pct,reliability_idx,system_losses_pct,unmet_demand_gwh
2018,279,311,717.32501,.89999998,87.389999,10.45,93.470001,89.550003,18.25,389
2019,285,319,726.18335,.88999999,89.029999,10.94,92.68,89.059998,19.440001,418
2020,290,323,744.15002,.89999998,90.690002,10.75,93.010002,89.25,18.83,416
2021,284,330,747.01666,.86000001,88.989998,14.07,92.699997,85.93,17.209999,556
2022,298,334,764.625,.88999999,93.330002,10.94,93.480003,89.059998,18.370001,435
2023,298,340,768.82501,.87,93.099998,12.55,92.709999,87.449997,18.68,509
2024,300,348,792.41669,.86000001,93.980003,13.72,93.010002,86.279999,17.959999,571
